	pred	date	true	H	beta	gamma	omega	err
0	-0.6109952699683182	2013-12-30	-0.5270647341887575	0.3090179055985174	0.9999998488936352	0.9999999153864884	-0.0015030417680674184	0.08393053577956067
1	-0.5053904913315179	2013-12-31	-0.4821381619137446	0.3244533715435085	0.9999998652666257	0.9999999209287419	-0.0013742058827731821	0.023252329417773332
2	-0.4551833248124027	2014-01-02	-0.41176985753890305	0.339413591124313	0.999999927914291	0.9999999822230223	-0.0012422872265982089	0.04341346727349965
3	-0.38051652346054876	2014-01-03	-0.4049804945779627	0.3572175169604742	0.9999999371838195	0.9999999862952376	-0.0010837529285266621	0.02446397111741394
4	-0.4272281211008182	2014-01-06	-0.4414636804903873	0.3485229442643966	0.9999998967748756	0.9999999742600123	-0.0011716022508802462	0.014235559389569108
5	-0.42334259748756786	2014-01-07	-0.47087399340299596	0.3515516391858386	0.9999999163239469	0.9999999829830757	-0.0011021869954749956	0.0475313959154281
6	-0.4825318895286057	2014-01-08	-0.4920015385203551	0.34275935227452986	0.999999910167269	0.9999999828283069	-0.0011751004513328635	0.009469648991749402
7	-0.4617011011039532	2014-01-09	-0.4625085827221018	0.3411336465614943	0.9999998953406893	0.9999999360358124	-0.0010670690621586356	0.0008074816181486422
8	-0.48378330151941523	2014-01-10	-0.5437217278091899	0.3277488034315221	0.9999999260140072	0.9999999832948872	-0.00115600397830966	0.05993842628977469
9	-0.5926818049239599	2014-01-13	-0.5138331448299462	0.3126739899952049	0.9999998558038631	0.9999999203468533	-0.0014003353422282054	0.0788486600940137
10	-0.4599955921047877	2014-01-14	-0.5312986528494781	0.33914459217767606	0.9999999239414692	0.9999999793667738	-0.0011606448543170986	0.0713030607446904
11	-0.47514956944836056	2014-01-15	-0.48123913384472905	0.35905589637005114	0.9999999055477514	0.9999999464366393	-0.0009642717260830695	0.006089564396368485
12	-0.3967692361550805	2014-01-16	-0.3776817971180271	0.39346905308624797	0.9999999389511008	0.9999999621570677	-0.0006338337614626397	0.0190874390370534
13	-0.39984688049828015	2014-01-17	-0.4060008702425981	0.3814850081394338	0.9999999305841639	0.9999999578284887	-0.0007214749072857228	0.006153989744317967
14	-0.41865781025726284	2014-01-21	-0.3847918610623311	0.3752043245287739	0.9999999866803797	1.0000000002929714	-0.0007759101786012045	0.033865949194931744
15	-0.35533320084262404	2014-01-22	-0.3548820604246039	0.37942305898590506	0.9999999450520812	0.9999999897741638	-0.0006497628088659472	0.00045114041802013505
16	-0.3699455639704615	2014-01-23	-0.2990550626240509	0.3704659751784994	0.9999999529788903	0.9999999908078425	-0.0007091226632919556	0.07089050134641062
17	-0.3063022175107785	2014-01-24	-0.021271595610277583	0.35969575145816696	0.9999999709851534	0.9999999954045649	-0.0007028743278324166	0.28503062190050094
18	-0.11206981342144774	2014-01-27	-0.10765409464492537	0.349464260813672	0.9999998870998783	0.9999999773693364	-0.0008869607518954149	0.004415718776522373
19	-0.11886042591658662	2014-01-28	-0.20732285899937208	0.3601864287020366	0.9999999274604539	0.9999999851270867	-0.0008960719328248625	0.08846243308278547
20	-0.15871482767882378	2014-01-29	-0.06687728266057569	0.3788259547253053	0.9999999742372674	0.9999999938749569	-0.0007098910894902622	0.09183754501824809
21	-0.044330669965835665	2014-01-30	-0.03913172934827536	0.388748406884634	0.9999999204554885	0.9999999911071762	-0.0005853469309119209	0.0051989406175603076
22	0.008706622513470043	2014-01-31	0.07381553173637201	0.4086508849503065	0.999999977002759	0.9999999913668236	-0.00038452221636977495	0.06510890922290197
23	0.027678548693701923	2014-02-03	0.1883095986385772	0.4004491163283809	0.9999999520979389	0.9999999831623412	-0.0005357178359495126	0.1606310499448753
24	0.17550642960186758	2014-02-04	0.07947597487287617	0.3986186217732804	0.9999999820835249	0.9999999990383002	-0.000509302543795092	0.09603045472899141
25	0.05030051498727349	2014-02-05	0.0940077701627251	0.3828084280162737	0.9999999513724726	1.0000000371730065	-0.0006228568740535047	0.04370725517545161
26	0.05876139040217882	2014-02-06	-0.07812113407365873	0.36837477915313876	0.999999929508907	0.9999999578344998	-0.0007245132048998474	0.13688252447583754
27	-0.1808043763584365	2014-02-07	-0.30727308192895064	0.31956004365650986	0.999999880040955	1.0000000415030341	-0.00116482979160821	0.12646870557051415
28	-0.20382352412064736	2014-02-10	-0.22130700350690846	0.3554368161166155	0.999999906412666	0.9999999789779986	-0.000814851396885424	0.017483479386261103
29	-0.24293924881067985	2014-02-11	-0.2976255797185403	0.3591013778105533	0.9999999545883398	0.9999999834724034	-0.0009205137251339767	0.05468633090786046
