	Date	pred_1	arfirv
0	2020-03-16	4.41511899332638	4.404296557298218
1	2020-03-17	4.3295576829095	4.339244161679694
2	2020-03-18	4.33664552876484	4.331747923188321
3	2020-03-19	4.28573132055695	4.286101784910352
4	2020-03-20	4.19033760893437	4.188890416317507
5	2020-03-23	4.08437255112591	4.0823291577805065
6	2020-03-24	4.11265648445618	4.112408457626914
7	2020-03-25	4.11310864194671	4.114622955531426
8	2020-03-26	4.11649518035905	4.118728450410648
9	2020-03-27	4.1450095482737	4.144395825355014
10	2020-03-30	4.0539128181743	4.056531879764808
11	2020-03-31	3.96089965983286	3.9581855872580607
12	2020-04-01	4.00980965088751	4.010192383889259
13	2020-04-02	3.92618945887773	3.929947003799375
14	2020-04-03	3.84852275464554	3.846989846256423
15	2020-04-06	3.77282053880685	3.7729607033850687
16	2020-04-07	3.82722264644724	3.8289573006527955
17	2020-04-08	3.74736900150211	3.7515246991334794
18	2020-04-09	3.72821844758619	3.7278865793428735
19	2020-04-13	3.69408618438277	3.6950878005722023
20	2020-04-14	3.62193611784612	3.6238158407360457
21	2020-04-15	3.67134740895646	3.67090249569725
22	2020-04-16	3.67279770854784	3.6767997516476876
23	2020-04-17	3.63418492855467	3.634002928689417
24	2020-04-20	3.73961455453154	3.7389488181766035
25	2020-04-21	3.80760638911429	3.811988971488215
26	2020-04-22	3.75720183328616	3.75702477022579
27	2020-04-23	3.70970644502475	3.7064049553393073
28	2020-04-24	3.57628535621042	3.576514546063797
29	2020-04-27	3.48925518013224	3.485608264168289
30	2020-04-28	3.48613964091677	3.486199498019143
31	2020-04-29	3.43571403321763	3.4380528298221877
32	2020-04-30	3.50607089132661	3.5053948295352186
33	2020-05-01	3.59570534047055	3.5992409663630975
34	2020-05-04	3.60382068938377	3.6045918588525367
35	2020-05-05	3.51651730305222	3.515388149736092
36	2020-05-06	3.51392296999042	3.5126894993342472
37	2020-05-07	3.44977338633281	3.4505048895285406
38	2020-05-08	3.33383995445263	3.3323970349911245
39	2020-05-11	3.28920000532668	3.2874126071609706
40	2020-05-12	3.47591016892509	3.4765266122515786
41	2020-05-13	3.5382371517944	3.542456280824256
42	2020-05-14	3.49617906465402	3.4960914901117084
43	2020-05-15	3.46145665007191	3.4590926971919322
44	2020-05-18	3.38114492159114	3.3811758086983477
45	2020-05-19	3.3993984043558	3.397779928868318
46	2020-05-20	3.33314612766559	3.3347123341417255
47	2020-05-21	3.36486677744901	3.36262140329596
48	2020-05-22	3.32273584742718	3.3250110024593593
49	2020-05-26	3.34296688423877	3.3414801495917965
50	2020-05-27	3.30825614465757	3.308607212992263
51	2020-05-28	3.34075626753568	3.34068653882318
52	2020-05-29	3.31287992993501	3.314182731615282
53	2020-06-01	3.32917433684244	3.328232230960525
54	2020-06-02	3.28971170915305	3.29072346915162
55	2020-06-03	3.24371800335718	3.2424207762242774
56	2020-06-04	3.24113484256864	3.2408526313502883
57	2020-06-05	3.19692369658691	3.1979966108106206
58	2020-06-08	3.23463745766887	3.2338019282957924
