	date	ar
0	2018-10-15	3.0301216696059483
1	2018-10-16	3.02972726134255
2	2018-10-17	2.852014637264265
3	2018-10-18	2.841031873441695
4	2018-10-19	2.9713072535322214
5	2018-10-22	2.964445570299121
6	2018-10-23	2.9531631859044336
7	2018-10-24	2.9982874629628404
8	2018-10-25	3.1820451280712043
9	2018-10-26	3.151583869055697
10	2018-10-29	3.147361559811521
11	2018-10-30	3.168708230878356
12	2018-10-31	3.1200718285753446
13	2018-11-01	3.023998411393058
14	2018-11-02	2.9389566820259483
15	2018-11-05	2.9481893059751467
16	2018-11-06	2.9710444538252587
17	2018-11-07	2.9662021935386216
18	2018-11-08	2.7822152024305637
19	2018-11-09	2.8027530761881376
20	2018-11-12	2.8372595154243427
21	2018-11-13	2.991671093617852
22	2018-11-14	2.973068862884923
23	2018-11-15	3.0312278700668194
24	2018-11-16	2.9739460186558158
25	2018-11-19	2.882541795469748
26	2018-11-20	2.9793756235646347
27	2018-11-21	3.0864783676095193
28	2018-11-23	3.0126076438695923
29	2018-11-26	3.044516388345244
30	2018-11-27	2.9209753569006685
31	2018-11-28	2.928424870248138
32	2018-11-29	2.9024222640797177
33	2018-11-30	2.9175763360851366
34	2018-12-03	2.8810526997096804
35	2018-12-04	2.7919460431514795
36	2018-12-06	3.010632031502046
37	2018-12-07	3.03246132369801
38	2018-12-10	3.121845560531488
39	2018-12-11	3.097600722802153
40	2018-12-12	3.0603852492368246
41	2018-12-13	3.0475207868608263
42	2018-12-14	3.011010610750279
43	2018-12-17	3.055890698045633
44	2018-12-18	3.178385093856566
45	2018-12-19	3.2214238188735145
46	2018-12-20	3.2222188627252106
47	2018-12-21	3.3267676836054405
48	2018-12-24	3.3877050170291962
49	2018-12-26	3.575581279202897
50	2018-12-27	3.397834121858996
51	2018-12-28	3.3834160362241583
52	2018-12-31	3.328307851546407
53	2019-01-02	3.2207029370593223
54	2019-01-03	3.1329816260524765
55	2019-01-04	3.223306213853272
56	2019-01-07	3.0530858931420997
57	2019-01-08	3.054286628981853
58	2019-01-09	3.011394691484073
